scenario_id,target_id,model,n_trades,n_skipped,n_unrealized,total_pnl,return_on_bankroll,return_on_turnover,win_rate,avg_pnl,max_drawdown,pnl_per_trade_std
TRD01,target_up_1h,limix,28,67,0,-81.90548811894006,-0.008190548811894006,-0.02925196004247859,0.2857142857142857,-2.925196004247859,82.06574452919645,7.644647183555308
TRD01,target_up_1h,base_rate,0,0,0,0.0,0.0,,,,0.0,
TRD01,target_up_1h,price_unchanged,0,0,0,0.0,0.0,,,,0.0,
TRD01,target_up_1h,mean_reversion,0,0,0,0.0,0.0,,,,0.0,
TRD01,target_up_1h,momentum,0,0,0,0.0,0.0,,,,0.0,
TRD02,target_delta_6h,limix,0,97,0,0.0,0.0,,,,0.0,
TRD02,target_delta_6h,base_rate,0,0,0,0.0,0.0,,,,0.0,
TRD02,target_delta_6h,price_unchanged,0,0,0,0.0,0.0,,,,0.0,
TRD02,target_delta_6h,mean_reversion,0,20,0,0.0,0.0,,,,0.0,
TRD02,target_delta_6h,momentum,0,20,0,0.0,0.0,,,,0.0,
