scenario_id,target_id,model,prediction_id,market_id,question,entity,direction,anchor_ts,exit_ts,entry_price,exit_price,stake,shares,pnl,realized,skip_reason
TRD01,target_up_1h,limix,00b88b4f-5fd8-4cea-a401-3eabb91f63f6,1435843,GRVT FDV above $200M one day after launch?,,long_yes,2026-07-13T08:00:00+00:00,,,,100.0,,,False,entry_spread_too_wide
TRD01,target_up_1h,limix,ac011c57-0825-4000-b1ba-d3e6fbd093ad,2009764,Will China GDP growth in Q2 2026 be between 4.3% and 4.6%?,CHINA,long_yes,2026-07-13T08:00:00+00:00,,,,100.0,,,False,entry_spread_too_wide
TRD01,target_up_1h,limix,02fe8ef1-d74d-40a9-b1e9-7148763bfc60,2068882,Will the Bank of Russia decrease the key rate after the July Meeting?,,long_yes,2026-07-13T08:00:00+00:00,,,,100.0,,,False,entry_spread_too_wide
TRD01,target_up_1h,limix,8bebbe38-9280-470b-a981-392f0205e0e6,2232193,"Will Russia enter Dopropillia by December 31, 2026?",,long_yes,2026-07-13T08:00:00+00:00,2026-07-13T09:00:00+00:00,0.62,0.615,100.0,161.29032258064515,-0.8064516129032265,True,
TRD01,target_up_1h,limix,b41be0a8-7680-47a8-bb98-93d4c3ce0bda,2299952,Will Anthropic's valuation hit (HIGH) $3.0T by December 31?,ANTHROPIC,long_no,2026-07-13T07:30:00+00:00,,,,100.0,,,False,entry_spread_too_wide
TRD01,target_up_1h,limix,9369c686-5464-476d-b8b3-9250750a83d1,2479863,Will SpaceX Starship Flight Test 13 launch by July 31?,,long_yes,2026-07-13T08:00:00+00:00,,,,100.0,,,False,entry_spread_too_wide
TRD01,target_up_1h,limix,e8602d7e-399c-4d98-b0f5-6d460817a2d7,2608935,Will Russia capture Kostyantynivka by July 31?,,long_yes,2026-07-13T08:00:00+00:00,2026-07-13T09:00:00+00:00,0.43,0.38,100.0,232.55813953488374,-11.627906976744184,True,
TRD01,target_up_1h,limix,8e903fb9-32e6-4194-bb27-a6e4ffdd8535,2646850,"US x Iran diplomatic meeting by July 31, 2026?",IRAN,long_yes,2026-07-13T08:00:00+00:00,,,,100.0,,,False,entry_spread_too_wide
TRD01,target_up_1h,limix,ee6471d8-983f-461e-a626-173448d9f704,2674078,Will Apple be the second-largest company in the world by market cap on July 31?,,long_yes,2026-07-13T08:00:00+00:00,,,,100.0,,,False,entry_spread_too_wide
TRD01,target_up_1h,limix,beb4fb7f-e41c-469f-8c08-5a8288afd0f6,2677864,Will WTI Crude Oil (WTI) hit (HIGH) $80 in July?,,long_yes,2026-07-13T08:00:00+00:00,2026-07-13T09:00:00+00:00,0.49,0.385,100.0,204.08163265306123,-21.428571428571427,True,
