scenario_id,target_id,model,strategy,n_trades,n_skipped,n_unrealized,total_pnl,return_on_bankroll,return_on_turnover,win_rate,avg_pnl,max_drawdown,pnl_per_trade_std
CRY01,final_outcome_yes,limix,pure,121,48,50,4718.852733843222,0.47188527338432223,0.3899878292432415,0.5867768595041323,38.99878292432415,1548.104434080972,197.7019484194325
CRY01,final_outcome_yes,base_rate,pure,610,354,310,-34185.644287407355,-3.4185644287407353,-0.560420398154219,0.08196721311475409,-56.042039815421894,34185.64428740735,116.54393141273604
CRY01,final_outcome_yes,gbm,pure,142,95,68,2365.452142996354,0.23654521429963538,0.16658113683072914,0.7746478873239436,16.658113683072916,325.77222558531633,62.920802368501846
CRY01,final_outcome_yes,limix_16m,pure,45,26,36,2661.7495675110795,0.26617495675110797,0.591499903891351,0.6222222222222222,59.1499903891351,293.5906218619343,232.49491150230406
CRY01,final_outcome_yes,limix_64m,pure,18,7,16,-335.03992676037564,-0.03350399267603756,-0.18613329264465314,0.3888888888888889,-18.613329264465314,335.0399267603756,34.542460371073005
CRY01,final_outcome_yes,limix_cal,pure,181,93,47,-6569.088248584115,-0.6569088248584115,-0.36293305240796214,0.2430939226519337,-36.293305240796215,8422.113257236902,133.20105953110956
CRY01,final_outcome_yes,logistic,pure,99,61,48,841.7014978694652,0.08417014978694652,0.085020353320148,0.7474747474747475,8.5020353320148,255.20945984252137,48.64922245991533
CRY01,final_outcome_yes,market,pure,0,0,0,0.0,0.0,,,,0.0,
CRY01,final_outcome_yes,xgboost,pure,53,33,46,283.78555798704605,0.028378555798704606,0.053544444903216235,0.6792452830188679,5.354444490321623,169.65634121080876,31.733137673707677
CRY02,final_outcome_yes,limix,pure,17,0,2,-571.8675226058593,-0.057186752260585935,-0.3363926603563878,0.23529411764705882,-33.639266035638784,900.0,109.42114801813322
CRY02,final_outcome_yes,base_rate,pure,13,1,0,-264.8414033401417,-0.02648414033401417,-0.20372415641549363,0.3076923076923077,-20.372415641549363,700.0,127.82129637141153
CRY02,final_outcome_yes,gbm,pure,18,1,2,-1013.185936825323,-0.10131859368253229,-0.5628810760140683,0.2222222222222222,-56.288107601406836,1013.185936825323,72.97586158261775
CRY02,final_outcome_yes,limix_16m,pure,5,0,2,181.70390596556922,0.018170390596556923,0.3634078119311384,0.4,36.34078119311384,155.4313725490196,135.45786991114545
CRY02,final_outcome_yes,limix_64m,pure,6,0,2,81.70390596556922,0.008170390596556922,0.13617317660928202,0.3333333333333333,13.617317660928203,255.4313725490196,133.33117559701958
CRY02,final_outcome_yes,limix_cal,pure,15,1,2,9.194651934576058,0.0009194651934576058,0.006129767956384038,0.4666666666666667,0.6129767956384039,400.0,108.40076636653264
CRY02,final_outcome_yes,logistic,pure,10,0,2,-741.7950089126559,-0.0741795008912656,-0.7417950089126559,0.1,-74.17950089126559,741.7950089126559,43.07269028239942
CRY02,final_outcome_yes,market,pure,0,0,0,0.0,0.0,,,,0.0,
CRY02,final_outcome_yes,xgboost,pure,7,0,2,-333.0993567387429,-0.033309935673874295,-0.4758562239124899,0.2857142857142857,-47.58562239124899,333.0993567387429,51.5560657867339
DOM01,target_delta_24h,limix,pure,82,718,0,-749.346954715888,-0.0749346954715888,-0.0913837749653522,0.34146341463414637,-9.13837749653522,1382.5057076682006,62.02127574488622
DOM01,target_delta_24h,base_rate,pure,313,1871,0,-3581.834497716867,-0.3581834497716867,-0.11443560695581045,0.23322683706070288,-11.443560695581045,6200.475890593474,69.24298142251753
DOM01,target_delta_24h,price_unchanged,pure,0,0,0,0.0,0.0,,,,0.0,
DOM01,target_delta_24h,mean_reversion,pure,104,448,0,-1082.0705871127343,-0.10820705871127342,-0.10404524876083984,0.23076923076923078,-10.404524876083984,2999.466420446068,107.3707691936655
DOM01,target_delta_24h,momentum,pure,104,448,0,510.38880156570514,0.051038880156570515,0.049075846304394724,0.7307692307692307,4.907584630439472,584.2323470380219,31.564466993095056
DOM01,target_up_24h,limix,pure,113,749,0,-588.8229684255582,-0.05888229684255582,-0.052108227294297184,0.415929203539823,-5.210822729429719,890.6040858571671,28.969962540746174
DOM01,target_up_24h,base_rate,pure,145,1345,0,-3417.3891752030363,-0.3417389175203036,-0.23568201208296802,0.15862068965517243,-23.568201208296802,3417.389175203035,29.66418499172781
DOM01,target_up_24h,price_unchanged,pure,0,0,0,0.0,0.0,,,,0.0,
DOM01,target_up_24h,mean_reversion,pure,207,1309,0,-4040.262229194306,-0.40402622291943063,-0.1951817502026235,0.2463768115942029,-19.518175020262348,4041.198201978261,30.633158562730273
DOM01,target_up_24h,momentum,pure,204,1314,0,-4718.418417927873,-0.47184184179278726,-0.23129502048666042,0.19607843137254902,-23.129502048666044,4721.43046612064,29.934242827388406
TRD01,target_up_1h,limix,pure,195,305,0,-858.9004087297776,-0.08589004087297776,-0.044046174806655264,0.24102564102564103,-4.404617480665526,996.2730981050709,23.840907905405643
TRD01,target_up_1h,base_rate,pure,0,0,0,0.0,0.0,,,,0.0,
TRD01,target_up_1h,price_unchanged,pure,0,0,0,0.0,0.0,,,,0.0,
TRD01,target_up_1h,mean_reversion,pure,0,0,0,0.0,0.0,,,,0.0,
TRD01,target_up_1h,momentum,pure,0,0,0,0.0,0.0,,,,0.0,
TRD02,target_delta_6h,limix,pure,398,597,0,-1385.1193370863775,-0.13851193370863776,-0.034801993394130086,0.3768844221105528,-3.480199339413009,1746.4906415900748,18.580721355446364
